"filename", "language", "Python", "Django HTML", "CSS", "JavaScript", "Django txt", "YAML", "comment", "blank", "total"
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\backup.txt", "Django txt", 0, 0, 0, 0, 736, 0, 0, 26, 762
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\develop.txt", "Django txt", 0, 0, 0, 0, 70, 0, 0, 4, 74
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\APIViewDelete.py", "Python", 80, 0, 0, 0, 0, 0, 1, 3, 84
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\AttendanceInformation.py", "Python", 405, 0, 0, 0, 0, 0, 4, 6, 415
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\AttendanceInformationClass.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\CourseArrangement.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\CourseInformation.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\EquipmentInformation.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\IDEvaluation.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\Login.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\Logout.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\Others.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\PersonInformation.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\Public.py", "Python", 214, 0, 0, 0, 0, 0, 1, 8, 223
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\StudentAttendance.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\StudentsInformation.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\TeachersInformation.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 18
