Date : 2021-03-22 19:28:08
Directory : e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering
Total : 100 files,  18913 codes, 433 comments, 871 blanks, all 20217 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| Python      |         42 |      7,891 |        184 |        327 |      8,402 |
| Django txt  |          5 |      6,015 |          0 |        194 |      6,209 |
| CSS         |          8 |      2,277 |         32 |         84 |      2,393 |
| JavaScript  |         10 |      1,638 |        216 |         68 |      1,922 |
| Django HTML |         34 |      1,084 |          0 |        192 |      1,276 |
| HTTP        |          1 |          8 |          1 |          6 |         15 |
+-------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        100 |     18,913 |        433 |        871 |     20,217 |
| APP                                                                                                                    |         40 |     13,642 |        109 |        457 |     14,208 |
| APP\polls                                                                                                              |         37 |     12,686 |        109 |        405 |     13,200 |
| APP\polls\View                                                                                                         |         18 |      5,680 |         59 |        160 |      5,899 |
| APP\polls\migrations                                                                                                   |         10 |      1,507 |          9 |         56 |      1,572 |
| WebEngineering                                                                                                         |          5 |        206 |         71 |         52 |        329 |
| apiifiles                                                                                                              |          1 |         33 |          0 |         11 |         44 |
| static                                                                                                                 |         15 |      2,362 |        170 |         93 |      2,625 |
| static\css                                                                                                             |          6 |      1,206 |         24 |         54 |      1,284 |
| static\js                                                                                                              |          9 |      1,156 |        146 |         39 |      1,341 |
| templates                                                                                                              |         37 |      2,637 |         78 |        251 |      2,966 |
| templates\error                                                                                                        |          3 |         12 |          0 |          3 |         15 |
| templates\other                                                                                                        |          5 |      1,656 |         78 |         65 |      1,799 |
| templates\other\css                                                                                                    |          2 |      1,071 |          8 |         30 |      1,109 |
| templates\other\js                                                                                                     |          1 |        482 |         70 |         29 |        581 |
| templates\partials                                                                                                     |          1 |         23 |          0 |          1 |         24 |
| templates\studentweb                                                                                                   |         11 |        412 |          0 |         72 |        484 |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                               | language    | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\backup.txt                                  | Django txt  |        803 |          0 |         34 |        837 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\develop.txt                                 | Django txt  |         70 |          0 |          4 |         74 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\APIViewDelete.py                 | Python      |         80 |          1 |          3 |         84 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\AttendanceInformation.py         | Python      |        557 |          5 |         10 |        572 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\AttendanceInformationClass.py    | Python      |        285 |          1 |          4 |        290 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\CourseArrangement.py             | Python      |        743 |          4 |         17 |        764 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\CourseInformation.py             | Python      |        776 |          5 |         13 |        794 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\APP\polls\View\EquipmentInformation.py          | Python      |        653 |          5 |         10 |        668 |
