"filename", "language", "Python", "NGINX Conf", "Markdown", "CSS", "HTTP", "Django HTML", "Django txt", "JavaScript", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\RestClient\test.http", "HTTP", 0, 0, 0, 0, 8, 0, 0, 0, 1, 6, 15
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Tasks\Email.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Tasks\QuitWarning.py", "Python", 43, 0, 0, 0, 0, 0, 0, 0, 1, 6, 50
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Tasks\Test.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Tasks\urls.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Tests\tests.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\APIViewDelete.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 1, 3, 84
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\AttendanceInformation.py", "Python", 603, 0, 0, 0, 0, 0, 0, 0, 5, 10, 618
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\AttendanceInformationClass.py", "Python", 325, 0, 0, 0, 0, 0, 0, 0, 1, 7, 333
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\CourseArrangement.py", "Python", 784, 0, 0, 0, 0, 0, 0, 0, 4, 15, 803
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\CourseInformation.py", "Python", 1018, 0, 0, 0, 0, 0, 0, 0, 20, 12, 1050
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\EquipmentInformation.py", "Python", 694, 0, 0, 0, 0, 0, 0, 0, 5, 11, 710
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\IDEvaluation.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 1, 3, 109
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\Login.py", "Python", 146, 0, 0, 0, 0, 0, 0, 0, 7, 5, 158
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\Logout.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\Others.py", "Python", 311, 0, 0, 0, 0, 0, 0, 0, 19, 35, 365
"c:\Users\shado\Desktop\Documents\人脸识别的考勤系统项目\Code\Development\WebEngineering\Apps\polls\Views\PersonInformation.py", "Python", 233, 0, 0, 0, 0, 0, 0, 0, 1, 6, 240
