"filename", "language", "Python", "JSON with Comments", "Markdown", "Properties", "Django HTML", "Django txt", "CSS", "compressionTargetFile", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.VSCodeCounter\2021-04-14_22-20-03\details.md", "Markdown", 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 6, 123
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.VSCodeCounter\2021-04-14_22-20-03\results.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 110
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.VSCodeCounter\2021-04-14_22-20-03\results.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.VSCodeCounter\2021-04-14_22-20-03\results.txt", "Django txt", 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 3, 157
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210806154041.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 73
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210806154954.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 75
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210806160021.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 75
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210806214017.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 77
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyCurricula\Database_20210807153835.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 77
